trial,width,height,density,mode,ok,ms,expansions,path_cells
16,100,100,0.3,dijkstra,True,22.7311,6831,209
16,100,100,0.3,astar,True,6.7173,1969,209
16,100,100,0.3,jps4,True,5.7342,1105,209
17,100,100,0.3,dijkstra,True,21.7007,6912,204
17,100,100,0.3,astar,True,8.5682,2395,204
17,100,100,0.3,jps4,True,7.6745,1367,204
18,100,100,0.3,dijkstra,True,21.9759,6794,202
18,100,100,0.3,astar,True,5.2878,1361,202
18,100,100,0.3,jps4,True,4.2177,782,202
19,100,100,0.3,dijkstra,True,23.5822,6902,207
19,100,100,0.3,astar,True,18.8618,5029,207
19,100,100,0.3,jps4,True,16.8254,3009,207
20,100,100,0.3,dijkstra,True,21.6514,6873,207
20,100,100,0.3,astar,True,19.1802,5303,207
20,100,100,0.3,jps4,True,18.219,3168,207
21,100,100,0.3,dijkstra,True,24.0247,6966,202
21,100,100,0.3,astar,True,5.3299,1513,202
21,100,100,0.3,jps4,True,4.571,830,202
22,100,100,0.3,dijkstra,True,22.9112,6803,204
22,100,100,0.3,astar,True,5.484,1514,204
22,100,100,0.3,jps4,True,4.5767,812,204
23,100,100,0.3,dijkstra,True,24.1204,6867,199
23,100,100,0.3,astar,True,4.4789,1255,199
23,100,100,0.3,jps4,True,3.3872,666,199
24,100,100,0.3,dijkstra,True,22.1743,6804,216
24,100,100,0.3,astar,True,10.6555,3069,216
24,100,100,0.3,jps4,True,9.4008,1741,216
25,100,100,0.3,dijkstra,True,21.6709,6869,205
25,100,100,0.3,astar,True,12.2265,3450,205
25,100,100,0.3,jps4,True,11.67,2018,205
26,100,100,0.3,dijkstra,True,22.5779,6892,211
26,100,100,0.3,astar,True,20.2977,5639,211
26,100,100,0.3,jps4,True,19.4266,3415,211
27,100,100,0.3,dijkstra,True,22.4387,6908,203
27,100,100,0.3,astar,True,17.6516,4951,203
27,100,100,0.3,jps4,True,16.9476,2896,203
28,100,100,0.3,dijkstra,True,23.054,6889,203
28,100,100,0.3,astar,True,11.2343,3019,203
28,100,100,0.3,jps4,True,9.5923,1700,203
29,100,100,0.3,dijkstra,True,22.5832,6896,201
29,100,100,0.3,astar,True,17.215,4539,201
29,100,100,0.3,jps4,True,14.5766,2555,201
0,100,100,0.35,dijkstra,True,19.8174,5954,247
0,100,100,0.35,astar,True,16.8684,4595,247
0,100,100,0.35,jps4,True,16.0897,2756,247
1,100,100,0.35,dijkstra,True,19.7244,6141,220
1,100,100,0.35,astar,True,19.3351,5276,220
1,100,100,0.35,jps4,True,16.3205,3199,220
2,100,100,0.35,dijkstra,True,18.475,5726,250
2,100,100,0.35,astar,True,14.6545,4240,250
2,100,100,0.35,jps4,True,14.2676,2521,250
3,100,100,0.35,dijkstra,True,19.0506,6144,224
3,100,100,0.35,astar,True,7.5083,2216,224
3,100,100,0.35,jps4,True,6.8216,1346,224
4,100,100,0.35,dijkstra,True,18.6209,5835,207
4,100,100,0.35,astar,True,12.0763,3203,207
4,100,100,0.35,jps4,True,10.3976,1945,207
5,100,100,0.35,dijkstra,True,20.0147,6180,223
5,100,100,0.35,astar,True,16.6125,4595,223
5,100,100,0.35,jps4,True,15.6498,2855,223
6,100,100,0.35,dijkstra,True,18.9681,5874,206
6,100,100,0.35,astar,True,12.7475,3526,206
6,100,100,0.35,jps4,True,11.7635,2068,206
7,100,100,0.35,dijkstra,True,18.0753,5668,204
7,100,100,0.35,astar,True,3.9509,1232,204
7,100,100,0.35,jps4,True,3.5818,698,204
8,100,100,0.35,dijkstra,True,18.3462,5826,210
8,100,100,0.35,astar,True,16.4229,4840,210
8,100,100,0.35,jps4,True,16.4474,2962,210
9,100,100,0.35,dijkstra,True,19.4872,6230,221
9,100,100,0.35,astar,True,13.9065,4077,221
9,100,100,0.35,jps4,True,13.2871,2458,221
10,100,100,0.35,dijkstra,True,19.7435,6082,215
10,100,100,0.35,astar,True,16.4183,4231,215
10,100,100,0.35,jps4,True,13.925,2585,215
11,100,100,0.35,dijkstra,True,18.3662,5898,245
11,100,100,0.35,astar,True,13.4989,4089,245
11,100,100,0.35,jps4,True,13.2624,2441,245
12,100,100,0.35,dijkstra,True,20.2224,6041,223
12,100,100,0.35,astar,True,18.435,5382,223
12,100,100,0.35,jps4,True,17.082,3146,223
13,100,100,0.35,dijkstra,True,0.0377,8,5
13,100,100,0.35,astar,True,0.0257,6,5
13,100,100,0.35,jps4,True,0.0419,4,5
14,100,100,0.35,dijkstra,True,20.8283,6061,223
14,100,100,0.35,astar,True,12.9227,3841,223
14,100,100,0.35,jps4,True,11.7107,2224,223
15,100,100,0.35,dijkstra,True,19.2596,6017,210
15,100,100,0.35,astar,True,12.4082,3179,210
15,100,100,0.35,jps4,True,10.0474,1856,210
16,100,100,0.35,dijkstra,True,18.51,5823,238
16,100,100,0.35,astar,True,14.5932,4109,238
16,100,100,0.35,jps4,True,13.1621,2483,238
17,100,100,0.35,dijkstra,True,19.0556,6006,258
17,100,100,0.35,astar,True,17.3726,4764,258
17,100,100,0.35,jps4,True,15.8479,2934,258
18,100,100,0.35,dijkstra,True,19.4111,6078,211
18,100,100,0.35,astar,True,16.0761,4563,211
18,100,100,0.35,jps4,True,14.702,2753,211
19,100,100,0.35,dijkstra,True,19.6373,5982,228
19,100,100,0.35,astar,True,10.9952,3191,228
19,100,100,0.35,jps4,True,10.9901,1940,228
20,100,100,0.35,dijkstra,True,18.1724,6017,211
20,100,100,0.35,astar,True,5.4868,1557,211
20,100,100,0.35,jps4,True,4.7081,988,211
21,100,100,0.35,dijkstra,True,19.5816,6278,215
21,100,100,0.35,astar,True,7.5302,2390,215
21,100,100,0.35,jps4,True,6.8764,1376,215
22,100,100,0.35,dijkstra,True,20.1467,5980,233
22,100,100,0.35,astar,True,9.951,2709,233
22,100,100,0.35,jps4,True,9.0843,1582,233
23,100,100,0.35,dijkstra,True,20.4508,6217,196
23,100,100,0.35,astar,True,15.4681,4538,196
23,100,100,0.35,jps4,True,14.6034,2712,196
24,100,100,0.35,dijkstra,True,20.8903,6218,217
24,100,100,0.35,astar,True,17.0316,4829,217
24,100,100,0.35,jps4,True,16.3984,2964,217
25,100,100,0.35,dijkstra,True,0.0371,3,3
25,100,100,0.35,astar,True,0.0146,3,3
25,100,100,0.35,jps4,True,0.0284,3,3
26,100,100,0.35,dijkstra,True,19.0813,5942,216
